k = 0
E = -19.4408614974123
site	densite
0 0.324354082101139
1 0.324885431621475
2 0.324354082101139
3 0.324885431621475
4 0.324354082101139
5 0.324885431621475
6 0.324354082101139
7 0.324885431621475
8 0.324354082101139
9 0.324885431621475
10 0.324354082101139
11 0.324885431621475
12 0.324354082101139
13 0.324885431621475
14 0.324354082101139
15 0.324885431621475
16 0.324354082101139
17 0.360884559166841
E = -18.8723893700844
site	densite
0 0.0860326817359728
1 0.0866605506853314
2 0.0860326817359728
3 0.0866605506853314
4 0.0860326817359728
5 0.0866605506853314
6 0.0860326817359728
7 0.0866605506853314
8 0.0860326817359728
9 0.0866605506853314
10 0.0860326817359728
11 0.0866605506853314
12 0.0860326817359728
13 0.0866605506853314
14 0.0860326817359728
15 0.0866605506853314
16 0.0860326817359728
17 0.287893239721171
E = -18.4755227435968
site	densite
0 -0.00902272390766503
1 -0.00921744634072499
2 -0.00902272390766503
3 -0.00921744634072499
4 -0.00902272390766503
5 -0.00921744634072499
6 -0.00902272390766503
7 -0.00921744634072499
8 -0.00902272390766503
9 -0.00921744634072499
10 -0.00902272390766503
11 -0.00921744634072499
12 -0.00902272390766503
13 -0.00921744634072499
14 -0.00902272390766503
15 -0.00921744634072499
16 -0.00902272390766503
17 -0.240438968334167
E = -18.3720870793033
site	densite
0 -0.000398888330935116
1 -0.000462141323840078
2 -0.000398888330935116
3 -0.000462141323840078
4 -0.000398888330935116
5 -0.000462141323840078
6 -0.000398888330935116
7 -0.000462141323840078
8 -0.000398888330935116
9 -0.000462141323840078
10 -0.000398888330935116
11 -0.000462141323840078
12 -0.000398888330935116
13 -0.000462141323840078
14 -0.000398888330935116
15 -0.000462141323840078
16 -0.000398888330935116
17 -0.122909829732555
E = -18.2293035353064
site	densite
0 0.00183947780361074
1 0.00187478704670766
2 0.00183947780361074
3 0.00187478704670766
4 0.00183947780361074
5 0.00187478704670766
6 0.00183947780361074
7 0.00187478704670766
8 0.00183947780361074
9 0.00187478704670766
10 0.00183947780361074
11 0.00187478704670766
12 0.00183947780361074
13 0.00187478704670766
14 0.00183947780361074
15 0.00187478704670766
16 0.00183947780361074
17 0.426290816271507
E = -17.9276759955919
site	densite
0 -0.00743704900764764
1 -0.00759930959734006
2 -0.00743704900764764
3 -0.00759930959734006
4 -0.00743704900764764
5 -0.00759930959734006
6 -0.00743704900764764
7 -0.00759930959734006
8 -0.00743704900764764
9 -0.00759930959734006
10 -0.00743704900764764
11 -0.00759930959734006
12 -0.00743704900764764
13 -0.00759930959734006
14 -0.00743704900764764
15 -0.00759930959734006
16 -0.00743704900764764
17 -0.028863982866224
E = -17.642706694408
site	densite
0 -0.0130845831176391
1 -0.0136901253884813
2 -0.0130845831176391
3 -0.0136901253884813
4 -0.0130845831176391
5 -0.0136901253884813
6 -0.0130845831176391
7 -0.0136901253884813
8 -0.0130845831176391
9 -0.0136901253884813
10 -0.0130845831176391
11 -0.0136901253884813
12 -0.0130845831176391
13 -0.0136901253884813
14 -0.0130845831176391
15 -0.0136901253884813
16 -0.0130845831176391
17 -0.106370482179714
E = -17.3610082895891
site	densite
0 -0.0101637872506459
1 -0.0106761231264289
2 -0.0101637872506459
3 -0.0106761231264289
4 -0.0101637872506459
5 -0.0106761231264289
6 -0.0101637872506459
7 -0.0106761231264289
8 -0.0101637872506459
9 -0.0106761231264289
10 -0.0101637872506459
11 -0.0106761231264289
12 -0.0101637872506459
13 -0.0106761231264289
14 -0.0101637872506459
15 -0.0106761231264289
16 -0.0101637872506459
17 -0.0958115598005821
E = -17.1298137033724
site	densite
0 -0.0833825027438715
1 -0.084061642591834
2 -0.0833825027438715
3 -0.084061642591834
4 -0.0833825027438715
5 -0.084061642591834
6 -0.0833825027438715
7 -0.084061642591834
8 -0.0833825027438715
9 -0.084061642591834
10 -0.0833825027438715
11 -0.084061642591834
12 -0.0833825027438715
13 -0.084061642591834
14 -0.0833825027438715
15 -0.084061642591834
16 -0.0833825027438715
17 -0.177542624869585
E = -17.0727547418824
site	densite
0 0.0172326780648322
1 0.0168754512137411
2 0.0172326780648322
3 0.0168754512137411
4 0.0172326780648322
5 0.0168754512137411
6 0.0172326780648322
7 0.0168754512137411
8 0.0172326780648322
9 0.0168754512137411
10 0.0172326780648322
11 0.0168754512137411
12 0.0172326780648322
13 0.0168754512137411
14 0.0172326780648322
15 0.0168754512137411
16 0.0172326780648322
17 -0.0539009286312694
k = 1
E = -19.4335857624518
site	densite
0 0.330569587529388
1 0.330569587529388
2 0.330569587529388
3 0.330569587529388
4 0.330569587529388
5 0.330569587529388
6 0.330569587529388
7 0.330569587529388
8 0.330569587529388
9 0.330569587529388
10 0.330569587529388
11 0.330569587529388
